"candidate_project_id","proposed_slug","proposed_title","year","media","type","roles","techniques","context","scope","client_or_artist","series_collection","related_project_ids","source_legacy_urls","normalization_action","decision_class","confidence","human_review_required","evidence","notes"
"project-06-emitter","06-emitter","06 Emitter","","Sculpture","Other Type","","CGI; VR Modeling","","","","VR Sculpture","","https://oikaw.com/06-emitter","keep","auto-approvable","medium","false","https://web.archive.org/web/20251015143313/https://oikaw.oikaw.com/06-emitter",""
"project-07-luck","07-luck","07 Luck","","Sculpture","Other Type","","CGI; VR Modeling","","","","VR Sculpture","","https://oikaw.com/07-luck","keep","auto-approvable","medium","false","https://web.archive.org/web/20250912102233/https://oikaw.oikaw.com/07-luck",""
"project-08-daydream","08-daydream","08 Daydream","","Sculpture","Other Type","","CGI; VR Modeling","","","","VR Sculpture","","https://oikaw.com/08-daydream","keep","auto-approvable","medium","false","https://web.archive.org/web/20250912104709/https://oikaw.oikaw.com/08-daydream",""
"project-4s4ki-artwork-2020-01","4s4ki-yourdreamland","おまえのドリームランド (Your Dreamland)","2020","Image","Cover Art","","","","","4s4ki","4s4ki Art Works","project-4s4ki-mvs-2020-01","https://oikaw.com/4s4ki-artwork-2020; https://oikaw.com/4s4ki-yourdreamland","split-from-group","auto-approvable","high","false","https://web.archive.org/web/20251015153443/https://oikaw.oikaw.com/4s4ki-artwork-2020; https://web.archive.org/web/20200918103023/https://oikaw.com/4s4ki-yourdreamland","Split confirmed: the archived page has an explicit independent title/year/output block; one output remains one Project. Related candidate is the same verified song/work across a distinct Image/Cover Art and Video/Music Video output; keep as separate Projects."
"project-4s4ki-artwork-2020-02","4s4ki-nemnem-remix","NEMNEM REMIX EP","2020","Image","Cover Art","","","","","4s4ki","4s4ki Art Works","","https://oikaw.com/4s4ki-artwork-2020; https://oikaw.com/4s4ki-nemnem-remix","split-from-group","auto-approvable","high","false","https://web.archive.org/web/20251015153443/https://oikaw.oikaw.com/4s4ki-artwork-2020; https://web.archive.org/web/20200918112818/https://oikaw.com/4s4ki-nemnem-remix","Split confirmed: the archived page has an explicit independent title/year/output block; one output remains one Project."
"project-4s4ki-artwork-2020-03","4s4ki-masayoshi-iimori","遺影にイェーイ","2020","Image","Cover Art","","","","","4s4ki, Masayoshi Iimori","4s4ki Art Works","","https://oikaw.com/4s4ki-artwork-2020; https://oikaw.com/4s4ki-masayoshi-iimori","split-from-group","auto-approvable","high","false","https://web.archive.org/web/20251015153443/https://oikaw.oikaw.com/4s4ki-artwork-2020; https://web.archive.org/web/20220518153845/https://oikaw.com/4s4ki-masayoshi-iimori","Split confirmed: the archived page has an explicit independent title/year/output block; one output remains one Project."
"project-4s4ki-artwork-2021-01","fairytale-cover-art","FAIRYTALE feat. Zheani","2021","Image","Cover Art","","","","","4s4ki","4s4ki Art Works","project-4s4ki-mvs-2021-1st-01","https://oikaw.com/4s4ki-artwork-2021; https://oikaw.com/4s4ki-singles-2021","split-from-group","auto-approvable","high","false","https://web.archive.org/web/20251015153819/https://oikaw.oikaw.com/4s4ki-artwork-2021; https://web.archive.org/web/20220518154516/https://oikaw.com/4s4ki-singles-2021","Split confirmed: the archived page has an explicit independent title/year/output block; one output remains one Project. Related candidate is the same verified song/work across a distinct Image/Cover Art and Video/Music Video output; keep as separate Projects. Slug assigned under the approved title-based lowercase ASCII kebab-case policy; existing nonblank slugs are not renamed solely for style consistency."
"project-4s4ki-artwork-2021-02","gemstone-cover-art","gemstone feat. Puppet","2021","Image","Cover Art","","","","","4s4ki","4s4ki Art Works","project-4s4ki-mvs-2021-1st-02","https://oikaw.com/4s4ki-artwork-2021; https://oikaw.com/4s4ki-singles-2021","split-from-group","auto-approvable","high","false","https://web.archive.org/web/20251015153819/https://oikaw.oikaw.com/4s4ki-artwork-2021; https://web.archive.org/web/20220518154516/https://oikaw.com/4s4ki-singles-2021","Split confirmed: the archived page has an explicit independent title/year/output block; one output remains one Project. Related candidate is the same verified song/work across a distinct Image/Cover Art and Video/Music Video output; keep as separate Projects. Slug assigned under the approved title-based lowercase ASCII kebab-case policy; existing nonblank slugs are not renamed solely for style consistency."
"project-4s4ki-artwork-2021-03","alice-cover-art","ALICE feat. Smrtdeath","2021","Image","Cover Art","","","","","4s4ki","4s4ki Art Works","project-4s4ki-mvs-2021-1st-03","https://oikaw.com/4s4ki-artwork-2021; https://oikaw.com/4s4ki-singles-2021","split-from-group","auto-approvable","high","false","https://web.archive.org/web/20251015153819/https://oikaw.oikaw.com/4s4ki-artwork-2021; https://web.archive.org/web/20220518154516/https://oikaw.com/4s4ki-singles-2021","Split confirmed: the archived page has an explicit independent title/year/output block; one output remains one Project. Related candidate is the same verified song/work across a distinct Image/Cover Art and Video/Music Video output; keep as separate Projects. Slug assigned under the approved title-based lowercase ASCII kebab-case policy; existing nonblank slugs are not renamed solely for style consistency."
"project-4s4ki-artwork-2022-01","portrait-4s4ki-2022","Portrait of 4s4ki 2022","2022","Image","Portrait","","","","","4s4ki","4s4ki Art Works","","https://oikaw.com/4s4ki-artwork-2022","split-from-group","auto-approvable","high","false","https://web.archive.org/web/20251015154148/https://oikaw.oikaw.com/4s4ki-artwork-2022","Split confirmed as an independent Portrait Project. Human Validation confirmed the descriptive title Portrait of 4s4ki 2022 and slug portrait-4s4ki-2022. The archived expression “マジカル阿修羅 / Magical Ashura” is retained as evidence but is not treated as the formal Project title."
